,time,cc_num,amount,merchant,category,gender,first,last,age,city_pop,state
37,2020-12-25 02:00:00,6,500,9,health_fitness,M,Steve,Green,48,1456,CG
38,2020-12-25 08:14:03,6,10,8,grocery_pos,F,Zac,Thompson,21,239,ID
39,2020-12-31 02:00:00,6,2000,9,kids_pets,M,Brian,Walker,25,3701,NY
40,2020-12-31 03:00:00,6,1000,9,misc_net,M,Broody,Button,25,3701,NY
41,2020-12-31 04:00:00,6,1000,9,misc_pos,M,Broody,Button,25,3701,NY
42,2021-01-01 00:00:00,6,2000,10,grocery_pos,F,Celine,Strove,25,3701,NY
43,2021-01-03 02:00:00,7,10,11,grocery_pos,M,Cody,Hooper,55,1456,CG
44,2021-01-03 05:00:00,7,50,11,health_fitness,F,Rebecca,Johnson,25,2301,US
45,2021-01-05 01:00:00,7,100,12,grocery_net,F,Samuel,Jenkins,68,849,PK
46,2021-02-05 03:30:00,8,100,12,personal_care,M,Steve,Pearson,25,3701,NY
47,2021-02-06 02:00:00,8,250.5,13,personal_care,M,Broody,Button,25,3701,NY
48,2021-03-06 01:59:59,8,100,13,shopping_net,F,Brian,Williams,28,3278,WA
49,2021-03-08 02:00:00,9,110.5,14,shopping_pos,M,Steve,Pearson,25,3701,NY
50,2021-04-09 02:00:00,10,1000,15,shopping_net,M,Melisa,Meza,25,159,RS
51,2021-04-10 04:00:00, 12, 1100, 7, food_dining,M, Gerad, Green, 72, 1456, CG
52,2021-04-10 06:00:00, 10, 10000, 11, shopping_net, F, Jessica, Green, 30, 6520, OT
53,2021-04-20 08:00:00, 9, 20.5, 3, grocery_net,M, Rick, Hoffman, 40, 5800, FL
54,2021-04-30 10:00:00, 11, 1300, 9, shopping_net, F, Donna, Paulson, 30, 6258, OS
55,2021-05-23 06:00:00, 5, 1800.5, 8, health_fitness,M, Harvey, Specter, 32, 6258, OS
56,2021-05-24 20:00:00, 11, 1050, 15, travel, F, Rachel, Zane, 28, 260, DL
57,2021-05-25 12:00:00, 6, 160.5, 12, shopping_pos,M, Mike, Ross, 28, 260, DL
58,2021-05-31 15:00:00, 4, 1200, 16, gas_transport, F, Claire, Brown, 35, 3701, NY
59,2021-06-02 21:00:00, 10, 2110.5, 2, grocery_pos,M, Steve, Smith, 35, 3701, NY
60,2021-06-10 06:00:00, 5, 3000, 7, kids_pets, F, Norma, Meza, 30, 1456, CG
61,2021-06-20 12:00:00, 6, 200, 12, food_dining,M, Daniel, Hardman, 35, 3701, NY
62,2021-06-22 20:00:00, 7, 300, 10, shopping_net, F, Meghan, Markle, 30, 1456, CG
63,2021-07-05 14:00:00, 10, 1200, 11, shopping_pos,M, Gabriel, Macht, 40, 3701, NY
64,2021-07-06 05:00:00, 6, 2400, 9, personal_care, F, Katrina, Bennet, 29, 260, DL
65,2021-07-07 09:00:00, 7, 1500, 11, misc_pos,M, Patrick, Adams, 35, 3701, NY
66,2021-07-12 10:00:00, 5, 300, 6, health_fitness, F, Gina, Torres, 30, 6520, OT
